Wall time,Step,Value
1570154900.099279,33514,0.00037007572245784104
1570155259.7176218,33660,0.0022990365978330374
1570156101.2615268,34002,1.4358362022903748e-05
1570156219.624148,34050,8.335593156516552e-05
1570156819.767166,34294,0.00011391247244318947
1570157179.5706244,34440,0.0001540062512503937
1570157299.8020322,34489,0.00013362312165554613
1570157420.2806985,34538,0.000870389980264008
1570157900.1119347,34733,0.0003072291146963835
1570158379.8898976,34928,0.00015695110778324306
1570158739.7456546,35074,0.0002757211623247713
1570158860.2635221,35123,0.0005694449064321816
1570158980.6870668,35172,0.00010552165622357279
1570159101.2903132,35221,7.87291573942639e-05
1570159820.6379795,35513,0.00028377195121720433
1570160539.6181152,35805,5.587325358646922e-05
1570160780.1645095,35903,0.0005129293422214687
1570160900.6456425,35952,0.00029631343204528093
1570161380.6631331,36147,0.0007105327094905078
1570161740.1304522,36293,3.650039070635103e-05
1570161860.5064063,36342,0.00019579024228733033
1570162219.7400131,36488,0.0001840731711126864
1570162340.5549238,36537,0.0006855393294245005
1570162460.995166,36586,0.00020272564142942429
1570162699.7450893,36683,0.00012654962483793497
1570162940.755567,36781,0.00014084274880588055
1570163659.5896053,37073,0.002550008473917842
1570164021.2176087,37220,0.0021943163592368364
1570164139.781877,37268,0.00015570191317237914
1570164499.5965369,37414,0.0007295138784684241
1570164619.786299,37463,0.0017195272957906127
1570164740.5567791,37512,3.2348252716474235e-05
1570164979.564914,37609,0.00023140199482440948
1570165099.9285247,37658,8.67952112457715e-05
1570165821.208872,37951,0.0034120683558285236
1570166299.58006,38145,9.717291686683893e-05
1570166419.7185845,38194,0.0003401970025151968
1570166661.0328472,38292,0.0002042789856204763
1570166899.8330073,38389,0.0030942701268941164
1570167141.1775463,38487,0.0013539829524233937
1570167259.5705495,38535,2.0488434529397637e-05
1570167379.8098545,38584,0.00040028372313827276
1570167500.4716258,38633,0.0003403083828743547
1570167621.2533922,38682,0.0001245205057784915
1570167980.8194702,38828,0.0004857725871261209
1570168460.689034,39023,6.719122029608116e-05
1570168819.8727884,39169,0.0005199576262384653
1570169061.165682,39267,0.0001481083600083366
1570169179.574425,39315,0.00020477434736676514
1570169299.889382,39364,0.00014884918346069753
1570170020.5518868,39657,0.00020395216415636241
1570170141.216244,39706,0.0001239422126673162
1570170379.7119396,39803,0.003078759415075183
1570170741.220199,39950,0.0002374617470195517
1570171220.5175478,40145,0.00016201216203626245
1570171579.8244927,40291,0.0003645719843916595
1570171941.2378538,40438,0.00029017095221206546
1570172059.5812309,40486,0.0004099015495739877
1570172300.3482332,40584,9.9287906778045e-05
1570172539.7034128,40681,9.36665601329878e-05
1570172780.4714317,40779,0.00011840712249977514
1570173380.7836204,41023,0.0005753521108999848
1570173740.0423622,41169,0.0002765679091680795
1570173980.9717057,41267,0.0027776239439845085
1570176261.2220592,42194,4.2796000343514606e-05
1570176500.0230258,42291,0.0001127037248807028
1570176620.6080678,42340,7.202241977211088e-05
1570177100.3424954,42535,0.00011519515828695148
1570177339.7039783,42632,0.0008185150800272822
1570177819.6786513,42827,0.0005497558740898967
1570178061.0468235,42925,0.0001614756038179621
1570178299.8389468,43022,2.9214164896984585e-05
1570178659.5881357,43168,0.002862658817321062
1570178900.4728086,43266,3.0984945624368265e-05
1570179021.2361238,43315,0.0015304337721318007
1570179260.3698497,43412,0.00102125178091228
1570179740.645707,43607,0.0007601705146953464
1570180221.1655264,43802,0.0008492955821566284
1570181060.892098,44143,0.000372003938537091
1570181299.7299955,44240,0.001225029001943767
1570181420.115667,44289,4.961457307217643e-05
1570181540.9610121,44338,0.000121511664474383
1570181779.733507,44435,0.00401538610458374
1570182139.769447,44581,2.7276510081719607e-05
1570182619.8739562,44776,0.0006507594371214509
1570182740.796699,44825,2.942628452728968e-05
1570182859.6113613,44873,0.00018413772340863943
1570182979.6426911,44922,6.369139009620994e-05
1570183220.5448043,45020,0.00015631108544766903
1570184060.3775449,45361,5.424572009360418e-05
1570184419.8139455,45507,0.0005634637782350183
1570185260.2166471,45848,0.000222777045564726
1570185619.7452166,45994,0.0013552706222981215
1570186100.103168,46189,0.00021918023412581533
1570186700.745501,46433,0.0003165160014759749
1570186940.2310853,46530,8.538150723325089e-05
1570187061.0134864,46579,0.00014992755313869566
1570187179.593905,46627,0.002309134928509593
1570187540.9467137,46774,0.00010706397006288171
1570187659.5489898,46822,0.0024133645929396152
1570187900.470444,46920,0.00017624470638111234
1570188139.8323917,47017,0.00014529544569086283
1570188260.473864,47066,4.5519351260736585e-05
1570188859.603904,47309,0.0024067475460469723
1570189100.4901013,47407,0.0004307991184759885
1570189460.5798836,47553,0.0005681719048880041
1570189581.054682,47602,0.007349396124482155
1570189699.5993357,47650,0.007690828759223223
1570190059.558446,47796,0.00017964532889891416
1570190179.8208811,47845,0.004610475618392229
1570190300.4597552,47894,0.003966034855693579
1570190660.3574595,48040,5.3442458010977134e-05
1570190780.898084,48089,0.0008321056375280023
1570191739.7515962,48478,5.868429070687853e-05
1570192099.5849905,48624,0.0004830549587495625
1570192459.5803688,48770,0.0013296350371092558
1570192700.4475033,48868,0.005003762431442738
1570192821.0745633,48917,0.008201160468161106
1570193180.6310027,49063,0.0002665604988578707
1570193301.2815292,49112,0.0004657077370211482
1570193779.6118286,49306,4.316151171224192e-05
1570193899.9832194,49355,0.0005976568209007382
1570194259.7775853,49501,5.678956222254783e-05
1570195220.1389682,49891,0.00015140238974709064
1570195340.9771469,49940,0.0009606129606254399
1570195700.3666248,50086,0.0003317295340821147
1570196060.45159,50232,0.0075955456122756
1570196180.944522,50281,5.755654274253175e-05
1570196659.5522096,50475,0.00013690807099919766
1570196779.8069553,50524,6.649595161434263e-05
1570197260.5090437,50719,2.915071127063129e-05
1570198100.5186205,51060,0.004779635928571224
1570198460.6763499,51206,0.0001435550511814654
1570198820.1293082,51352,0.003613485721871257
1570199059.5771527,51449,0.0016590326558798552
1570199781.1597004,51742,0.006034474819898605
1570199899.5566165,51790,0.00013355370901990682
1570200141.2656853,51888,0.0006482242606580257
1570200380.537344,51985,4.1231498471461236e-05
1570200859.570637,52179,0.0005503545980900526
1570201100.6654468,52277,0.00011574763630051166
1570201581.3525403,52472,7.859063771320507e-06
1570201820.2262096,52569,0.0030838511884212494
1570202301.0319257,52764,0.0021746151614934206
1570202419.7048898,52812,0.0001490424619987607
1570202540.5552683,52861,2.0381106878630817e-05
1570203381.2723753,53202,0.0016627730801701546
1570204101.081131,53494,0.0002099136618198827
1570204340.3829944,53591,0.00014976788952481002
1570204700.0264025,53737,4.114992043469101e-05
1570204821.1749635,53786,6.16731122136116e-05
1570205900.616444,54224,0.00011718172754626721
1570206140.0210483,54321,0.0007321806042455137
1570206499.6356852,54467,0.000628581503406167
1570206859.6265247,54613,3.0376770155271515e-05
1570207339.7264228,54808,0.0006859680870547891
1570207460.234149,54857,0.00048169767251238227
1570207940.782208,55052,3.595976158976555e-05
1570208300.2233782,55198,0.00024740834487602115
1570208780.7268198,55393,6.787781603634357e-05
1570210221.2318316,55978,3.4636675991350785e-05
1570210819.9744287,56221,6.153455615276471e-05
1570210940.867279,56270,0.0008106285822577775
1570211061.2693083,56319,0.0005635638954117894
1570211421.2697442,56465,0.000787283293902874
1570211539.7975054,56513,0.00023602361034136266
1570211660.5572784,56562,3.9073471270967275e-05
1570212020.339082,56708,0.0008677120786160231
1570214061.014878,57536,0.007166613359004259
1570214179.6121657,57584,2.6227935450151563e-05
1570214420.6823127,57682,6.0245056374697015e-05
1570214539.6064935,57730,0.0008665387867949903
1570214900.9989922,57877,8.720286859897897e-05
1570215379.5786636,58071,0.00020942855917382985
1570215499.7338827,58120,0.00013697188114747405
1570215741.1139882,58218,0.0006720423116348684
1570215980.1187975,58315,0.00021690144785679877
1570216339.827992,58461,0.002414903836324811
1570216581.0590663,58559,2.8382943128235638e-05
1570216940.6701276,58705,3.85809107683599e-05
1570217179.577146,58802,4.000132321380079e-05
1570217421.2525582,58900,0.0005622056196443737
1570217539.7113488,58948,0.015595541335642338
1570217780.9749706,59046,0.00014636359992437065
1570218019.7062542,59143,3.479553197394125e-05
1570219219.818242,59630,0.000207340664928779
1570220060.3663247,59971,0.0017653668764978647
1570220181.016164,60020,0.0003010679211001843
1570220299.6107078,60068,0.00014297931920737028
1570220540.898487,60166,0.000473467109259218
1570220900.6003468,60312,1.9359276848263107e-05
1570221260.6673877,60458,0.0012392767239362001
1570221499.58686,60555,0.004518616013228893
1570221740.9615834,60653,0.0007335476693697274
1570222100.6745243,60799,1.3476907042786479e-05
1570222700.0007749,61042,0.007800617720931768
1570223059.9223955,61188,0.0019356231205165386
1570223180.6281996,61237,0.00019742047879844904
1570223300.6360228,61285,7.210468174889684e-05
1570223659.5586498,61431,0.00024717062478885055
1570223779.9871345,61480,0.00010255043162032962
1570223900.6785755,61529,0.0003078329027630389
1570224740.943031,61870,0.0004591509059537202
1570225581.0658846,62211,0.0001009266561595723
1570225940.7267673,62357,0.00040450613596476614
1570226420.6387086,62552,0.0004547433345578611
1570226900.9545424,62747,2.6287734726793133e-05
1570227260.9101496,62893,0.0014788861153647304
1570227379.8454187,62941,0.011114031076431274
1570227499.7067986,62990,6.735408533131704e-06
1570227741.075679,63088,0.020508594810962677
1570228460.3337705,63380,4.545834963209927e-05
1570228699.5493925,63477,0.000382737722247839
1570229659.599348,63867,0.00012187565880594775
1570229779.914471,63916,0.0002971469075419009
1570230139.6020217,64062,4.088136847713031e-05
1570230501.040037,64209,1.6113366655190475e-05
1570230619.6587617,64257,0.00010808470688061789
1570231340.9950988,64550,0.00029175920644775033
1570231579.705777,64647,0.00011061624536523595
1570232059.585159,64842,1.4123765140539035e-05
